Accession,PC1,PC2
CSA001,-206.712565080014,91.4335671746759
CSA002,20.18144363176,-47.6998782986199
CSA003,-29.6421619306845,-85.6571548778123
CSA004,34.0067176647607,-19.3234161420642
CSA007,18.2289732662703,-54.4247130010078
CSA008,-206.927446265056,90.4159868108021
CSA009,32.4456893368486,-24.3383432436692
CSA013,-205.263384126467,92.2264908086236
CSA015,-64.0188699742086,-104.490708850917
CSA016,-74.1469484177599,-69.8293781430031
CSA018,2.97836702298889,-73.2568878685455
CSA019,8.6907852194211,-77.1295594542083
CSA020,14.2536824966547,-50.0949453926332
CSA022,-47.0355522457356,-88.9775561377539
CSA023,11.4972465204248,-76.8615356500507
CSA024,9.8487181627382,-77.1375207762852
CSA025,-81.3446980974016,-119.795232545127
CSA026,-20.7457084380415,-75.5781540185456
CSA027,-46.609575588996,-118.184259871672
CSA028,93.4735962452417,41.8230971306314
CSA030,118.692476050209,73.9692318604242
CSA031,81.5841558833639,10.2773915191651
CSA033,90.0902217417835,35.1855511174599
CSA034,59.5503333299079,4.06319964751312
CSA035,66.0961324003546,-0.919108396208459
CSA036,117.125001754956,68.8830142932039
CSA037,62.591184333025,28.0085934916052
CSA038,-206.923804929383,91.4729145957867
CSA039,35.3205296725382,2.97045211451792
CSA042,-1.03557688049078,6.39635098357746
CSA043,67.7966579451624,35.3903315111994
CSA044,100.458345569758,58.067197276364
CSA046,-206.836988419953,92.4679784910614
CSA047,-14.248397456914,38.5874167614921
CSA048,22.1710827482804,24.1283204394901
CSA049,-143.856990936996,68.0409241151501
CSA050,-78.6141571510886,3.17743947025279
CSA051,-128.8488304455,14.0465691687859
CSA052,-83.5062085334312,70.3905391289871
CSA053,-150.625616891276,-5.9187083143437
CSA054,-46.4078363817205,85.0591954973659
CSA055,-80.4566947219778,72.7885670245448
CSA056,-107.331541824699,49.5662408608772
CSA057,-9.18274086907029,24.1559420659624
CSA058,25.9686201410636,-13.54628060554
CSA059,72.8815363618959,22.5521467391754
CSA060,-14.5912719505777,24.6712132531931
CSA062,-205.431118372249,92.217149216316
CSA063,-205.000247176014,92.2961862089896
CSA064,36.2885883716491,0.180044472790664
CSA065,-21.2850209369012,-90.5145435812135
CSA066,-69.6759662409826,77.6243692371061
CSA067,-58.0413714206515,68.4814745503455
CSA068,96.5600699783961,54.7706119745293
CSA069,-89.8921126888983,71.8445952264567
CSA070,-70.9971068010389,-79.9506100424145
CSA071,31.5108930819967,-3.51671041126294
CSA072,-25.733936513166,-61.6210947405332
CSA073,68.8445571812043,-6.87576404923308
CSA074,-50.0564172900369,-10.7681303652232
CSA075,97.0253993488695,44.4568029758134
CSA076,55.3116974420387,7.58486782971402
CSA077,120.876854070211,75.3634996098965
CSA078,97.6581014780815,55.7258012886231
CSA079,99.246704351043,56.5751195547709
CSA080,49.9096349726458,16.7263434524304
CSA081,13.3336799427234,-3.55433034583351
CSA082,102.150000743636,39.1699851840055
CSA083,11.8903323432693,-17.379952717939
CSA084,54.5185591366679,14.8923944759164
